Date,temperature,production,Anomaly,million bushel
1991,55.7,347,1.2,
1992,54.2,338,-0.3,
1993,51.9,326,-2.6,
1994,54.9,347,0.4,
1995,53.9,338,-0.6,
1996,53.1,289,-1.4,
1997,53.7,362,-0.8,
1998,56.3,352,1.8,
1999,56,360,1.5,
2000,55.5,347.8,1,
2001,55.9,350,1.4,
2002,55.2,318,0.7,
2003,55,347,0.5,
2004,55.1,318,0.6,
2005,55.9,380,1.4,
2006,56.9,316,2.4,
2007,55.1,319,0.6,
2008,53.6,343,-0.9,
2009,53.6,375.9,-0.9,
2010,55.3,344,0.8,
2011,55.2,346,0.7,
2012,58.2,382.2,3.7,
2013,53.7,321.1,-0.8,
2014,53.7,333,-0.8,
2015,56.3,321.9,1.8,
2016,57.2,361,2.7,
2017,56.5,350,2,
2018,54.6,343,0.1,
