Date, precipitation,production,Anomaly,unit: inch
1997,19.4 ,181.5 ,0.9 ,
1998,20.3 ,168.8 ,1.7 ,
1999,17.4 ,154.3 ,-1.1 ,
2000,15.7 ,135.2 ,-2.9 ,
2001,14.9 ,96.6 ,-3.6 ,
2002,17.2 ,110.7 ,-1.4 ,
2003,17.4 ,142.3 ,-1.2 ,
2004,16.8 ,173.2 ,-1.7 ,
2005,20.0 ,192.5 ,1.5 ,
2006,18.2 ,153.0 ,-0.3 ,
2007,18.0 ,149.8 ,-0.6 ,
2008,19.5 ,164.9 ,0.9 ,
2009,17.5 ,175.1 ,-1.1 ,
2010,22.0 ,214.1 ,3.5 ,
2011,22.9 ,174.9 ,4.3 ,
2012,16.8 ,195.5 ,-1.7 ,
2013,20.0 ,201.6 ,1.5 ,
2014,21.6 ,209.4 ,3.1 ,
2015,16.9 ,188.5 ,-1.7 ,
2016,21.2 ,210.8 ,2.6 ,
2017,17.4 ,127.3 ,-1.1 ,
2018,19.9 ,197.6 ,1.4 ,
