Date,temperature,production,Anomaly,million bushel
1997,42.2 ,181.5 ,1.1 ,
1998,43.8 ,168.8 ,2.7 ,
1999,44.0 ,154.3 ,2.9 ,
2000,42.4 ,135.2 ,1.3 ,
2001,43.6 ,160.5 ,2.5 ,
2002,41.4 ,110.7 ,0.3 ,
2003,43.3 ,142.3 ,2.2 ,
2004,42.8 ,173.2 ,1.7 ,
2005,43.1 ,192.5 ,2.0 ,
2006,44.4 ,153.0 ,3.3 ,
2007,44.0 ,149.8 ,2.9 ,
2008,41.4 ,143.8 ,0.3 ,
2009,41.1 ,162.3 ,0.0 ,
2010,41.6 ,145.6 ,0.5 ,
2011,41.6 ,174.9 ,0.5 ,
2012,44.5 ,195.5 ,3.4 ,
2013,42.4 ,160.2 ,1.3 ,
2014,41.9 ,158.9 ,0.8 ,
2015,44.9 ,188.5 ,3.8 ,
2016,44.6 ,210.8 ,3.5 ,
2017,43.2 ,127.3 ,2.1 ,
2018,41.3 ,142.7 ,0.2 ,
,,,,
