year number,year ,annual.avg.price.per.bushel,wheat.production.by.thousand.bushel
1,2018,209,1884458 
2,2017,174,1740910 
3,2016,166,2308663 
4,2015,204,2061939 
5,2014,284,2026310 
6,2013,312,2134979 
7,2012,313,2252307 
8,2011,316,1993111 
9,2010,223,2163023 
10,2009,224,2208918 
11,2008,326,2511896 
12,2007,255,2051088 
13,2006,192,1808416 
14,2005,152,2103325 
15,2004,156,2156790 
16,2003,146,2344415 
17,2002,148,1605878 
18,2001,126,1947453 
19,2000,114,2228160 
20,1999,112,2295560 
21,1998,126,2547321 
22,1997,159,2481466 
23,1996,207,2277388 
24,1995,176,2182708 
25,1994,149,2320981 
26,1993,140,2396440 
27,1992,151,2466798 
28,1991,128,1980139 
29,1990,135,2729778 
30,1989,168,2036618 
