,Kansas,Montana,N. Dakota,Washington,Oklahoma,five.state.total,total.wheat.production,million.bushel
1997,501.4,181.5,269.3,165.1,169.6,257.38,2481.4,NA
1998,494.9,168.8,307.7,157.4,198.9,265.54,2547.3,NA
1999,432.4,154.3,242.1,124.1,150.5,220.68,2295.5,NA
2000,347.8,135.2,317,164.9,142.8,221.54,2228.1,NA
2001,328,96.6,292.4,131.4,122.1,194.1,1947.4,NA
2002,270.6,110.7,216.1,129.8,103.6,166.16,1605.8,NA
2003,480,142.3,317.1,139.3,179.4,251.62,2344.4,NA
2004,314.5,173.2,306.7,143.5,164.5,220.48,2156.7,NA
2005,380,192.5,303.8,139.3,128,228.72,2103.3,NA
2006,291.2,153,252,131.4,68.2,179.16,1808.4,NA
2007,283.8,149.8,298.8,140.3,102,194.94,2051.0,NA
2008,360,164.9,307.4,121.5,149,220.56,2511.8,NA
2009,375.9,175.1,377.1,123.7,74.8,225.32,2208.9,NA
2010,360,214.1,356.6,147.5,119.4,239.52,2163.0,NA
2011,278.2,174.9,199.8,165.5,73.6,178.4,1993.1,NA
2012,382.2,195.5,340.1,144.1,154.8,243.34,2252.3,NA
2013,321.1,201.6,273.3,145.5,105.4,209.38,2134.9,NA
2014,246.4,209.4,347,108.4,47.6,191.76,2026.3,NA
2015,321.9,188.5,370,111.9,98.8,218.22,2061.9,NA
2016,467.4,210.8,332.9,157.2,136.5,260.96,2308.6,NA
2017,333.6,127.3,238,142.5,98.6,188,1740.9,NA
2018,277.4,197.6,363.4,153.2,70,212.32,1884.4,NA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
