Date, precipitation,production,Anomaly,unit: inch
1997,58.7 ,331.5 ,2.9 ,
1998,62.1 ,494.9 ,4.9 ,
1999,61.3 ,375.6 ,2.9 ,
2000,60.3 ,347.8 ,-1.9 ,
2001,60.8 ,328.0 ,0.4 ,
2002,59.4 ,270.6 ,-4.9 ,
2003,59.9 ,480.0 ,-2.3 ,
2004,60.1 ,314.5 ,3.5 ,
2005,60.8 ,380.0 ,2.2 ,
2006,62.2 ,373.2 ,-2.7 ,
2007,60.0 ,283.8 ,5.9 ,
2008,59.6 ,360.0 ,6.0 ,
2009,59.4 ,375.9 ,4.4 ,
2010,60.3 ,360.0 ,0.5 ,
2011,61.6 ,278.2 ,-3.2 ,
2012,63.2 ,382.2 ,-8.1 ,
2013,58.8 ,321.1 ,1.7 ,
2014,58.9 ,246.4 ,-2.0 ,
2015,60.8 ,321.9 ,5.4 ,
2016,62.3 ,467.4 ,3.3 ,
2017,61.8 ,374.7 ,1.7 ,
2018,60.2 ,277.4 ,4.4 ,
