Date, precipitation,production,Anomaly,unit: inch
1997,16.5 ,269.3 ,-1.0 ,
1998,21.2 ,307.7 ,3.7 ,
1999,20.4 ,242.1 ,2.9 ,
2000,21.3 ,317.0 ,3.8 ,
2001,16.8 ,292.4 ,-0.7 ,
2002,15.8 ,216.1 ,-1.7 ,
2003,16.2 ,286.7 ,-1.3 ,
2004,18.9 ,306.7 ,1.3 ,
2005,21.0 ,303.8 ,3.5 ,
2006,14.0 ,252.0 ,-3.5 ,
2007,19.0 ,298.8 ,1.5 ,
2008,19.8 ,307.4 ,2.2 ,
2009,19.0 ,377.1 ,1.4 ,
2010,23.5 ,356.6 ,6.0 ,
2011,21.4 ,300.4 ,3.9 ,
2012,15.1 ,286.6 ,-2.4 ,
2013,23.3 ,273.3 ,5.8 ,
2014,18.6 ,306.3 ,1.1 ,
2015,17.7 ,370.0 ,0.2 ,
2016,21.9 ,332.9 ,4.3 ,
2017,13.0 ,238.0 ,-4.5 ,
2018,17.8 ,296.3 ,0.2 ,
