year,annual.avg.price.per.bushel,Baltic.Dry.Index
2018,209,"1,339.42"
2017,174,1149.66
2016,166,692.83
2015,204,703.91
2014,284,1065.41
2013,312,1255.75
2012,313,885.25
2011,316,1531.75
2010,223,2674.83
2009,224,2641.16
2008,326,6069.83
2007,255,7252.25
2006,192,3239.25
2005,152,3252.83
2004,156,4482.91
2003,146,2733.58
2002,148,1181.75
2001,126,1187.16
2000,114,1615.25
1999,112,1086.75
1998,126,930.75
1997,159,1332.16
1996,207,1310.08
1995,176,1957
1994,149,1502.33
1993,140,1398.08
1992,151,1198.66
1991,128,1595.41
1990,135,1347.5
1989,168,1547.66
