Date, precipitation,production,Anomaly,unit: inch
1997,51.1 ,165.1 ,8.9 ,
1998,48.6 ,157.4 ,6.4 ,
1999,49.3 ,141.6 ,7.1 ,
2000,34.2 ,130.5 ,-8.0 ,
2001,39.2 ,131.4 ,-3.0 ,
2002,36.5 ,129.8 ,-5.7 ,
2003,43.5 ,139.3 ,1.3 ,
2004,37.7 ,143.5 ,-4.6 ,
2005,38.6 ,139.3 ,-3.6 ,
2006,50.3 ,142.2 ,8.1 ,
2007,40.2 ,140.3 ,-2.0 ,
2008,37.4 ,121.5 ,-4.8 ,
2009,39.9 ,123.7 ,-2.3 ,
2010,47.3 ,147.5 ,5.1 ,
2011,43.8 ,141.2 ,1.6 ,
2012,52.9 ,144.1 ,10.7 ,
2013,35.7 ,132.5 ,-6.5 ,
2014,48.8 ,108.4 ,6.6 ,
2015,43.3 ,137.6 ,1.1 ,
2016,49.1 ,157.2 ,6.9 ,
2017,48.7 ,142.5 ,6.5 ,
2018,41.3 ,137.8 ,-0.9 ,
